id,SEASON,PET (evaporation),PRE(precipitation),TMN(temp),TMX(temp),Ha(area of land),Tons(yields),t/ha
0,1992,4.857142857,71.4,12.3,27.28571429, 474000,1170000,2.47
1,1993,4.942857143,67.48571429,12.78571429,27.95714286, 711000, 555000,0.78
2,1994,5.157142857,42.58571429,13.14285714,29.02857143, 727000,1967000,2.71
3,1995,4.885714286,60.42857143,12.78571429,27.7, 712000,2186000,3.07
4,1996,4.542857143,82.62857143,12.47142857,26.4, 460000, 710000,1.54
5,1997,5.085714286,49.6,12.74285714,28.11428571, 683000,2232000,3.27
6,1998,4.385714286,93.72857143,11.98571429,25.62857143, 694000,2050000,2.95
7,1999,4.471428571,92.97142857,11.64285714,26.11428571, 665000,1725000,2.59
8,2000,4.814285714,74.54285714,12.22857143,27.8, 682000,1820000,2.67
9,2001,4.842857143,66.85714286,12.78571429,28.27142857, 805000,2727500,3.39
10,2002,4.542857143,88.01428571,13,26.35714286, 610000,1710000,2.80
11,2003,4.757142857,78.68571429,12.51428571,27.17142857, 688000,2064000,3.00
12,2004,4.628571429,84.31428571,12.17142857,26.98571429, 805000,2515000,3.12
13,2005,4.957142857,56.2,12.11428571,28.75714286, 660000,2050000,3.11
14,2006,4.971428571,60.58571429,12.9,28.24285714, 660000,2658000,4.03
15,2007,4.957142857,58.3,13.2,28.17142857, 345000,1400000,4.06
16,2008,4.6,85.61428571,12.78571429,26.68571429, 640000,1925000,3.01
17,2009,5.085714286,63.47142857,11.91428571,28.48571429, 690000,2978000,4.32
18,2010,4.7,57.47142857,11.98571429,27.31428571, 565000,2627250,4.65
19,2011,4.957142857,64.72857143,12.91428571,28.51428571, 690000,3174000,4.60
20,2012,4.785714286,109.6571429,12.88571429,27.7, 595000,2590000,4.35
21,2013,4.657142857,102.1857143,12.94285714,27.38571429, 710000,3050000,4.30
22,2013,5.114285714,40.47142857,11.7,28.6, 725000,2574000,3.55
23,2014,5.071428571,57.07142857,12.8,29.01428571, 730000,3759500,5.15
24,2015,4.957142857,65.3,13.21428571,28.35714286, 710000,2236000,3.15
25,2016,5,59.75714286,12.72857143,28.5, 390000,1190500,3.05
26,2017,5.042857143,54.21428572,12.24285715,28.64285714, 805000,5110000,6.35
27,2018,5.085714286,48.67142858,11.75714287,28.78571428, 644000,3542000,5.50
